CODIGOEAN13,Tipo,Nom_Prod,Concent,Nom_Form_Farm,Nom_Form_Farm_Simplif,Presentac,Fracciones,Fec_Vcto_Reg_Sanitario,Num_RegSan,Nom_Titular
14452,13,OXITOCINA,10UI/mL,Solución para Inyección,Inyectable,Caja Amp.,100,3/25/2014,EG6149,ESKE
15735,13,LORATADINA,10mg,Tableta,Tableta,Caja Tab.,30,9/12/2011,NG5069,LA VICTORIA
15736,13,FLUCONAZOL,150mg,Cápsula,Capsula,Caja Cap.,4,9/15/2011,NG5074,LA VICTORIA
15739,13,OMEPRAZOL,20mg,Cápsula,Capsula,Caja Cap.,20,6/13/2012,NG5355,LA VICTORIA
18372,13,FINEX,250mg,Comprimido,Tableta,Caja Comp.,14,10/22/2011,E14186,FARMAVAL
132093,13,BICARBONATO DE SODIO,,Polvo para Suspensión Oral,Suspension,Caja X 100 g,1,7/19/2011,NG2888,LA VICTORIA
390002,13,NASTERIL,5mg,Comprimido Recubierto,Tableta,Caja Comp.,30,3/26/2012,E14500,TECNOFARMA
1360004,13,ADENEX,5mg,Comprimido,Tableta,Caja Comp.,30,10/19/2009,E12245,TECNOFARMA
2770098,13,TRAVATAN,0.00%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 2.5 mL,1,5/23/2011,E13878,ALCON
3186620,13,SRILANE CREMA,5%,Crema,Crema,Tubo X 60 g,1,6/27/2011,E18533,MERCK PERUANA
3418970,13,ATRICAN,250mg,Cápsula,Capsula,Caja Cap.,8,5/23/2012,E14657,QUILAB
4190189,13,CLOXIPOL,1%,Crema,Crema,Tubo X 20 g,1,3/23/2015,N21656,LA VICTORIA
4190486,13,HISTAFED,4mg,Comprimido,Tableta,Caja Comp.,20,3/27/2010,E12759,LA VICTORIA
4191087,13,XINTUS -,15mg/5mL,Jarabe,Solucion,Fco. X 100 mL,1,3/8/2010,N21613,LA VICTORIA
4191384,13,PALDIX FORTE,800mg+160mg,Tableta,Tableta,Caja Tab.,10,10/20/2015,N22052,LA VICTORIA
4192466,13,MULTAMIN C MULTISABOR,,Comprimido,Tableta,Caja Disp. Comp.,96,12/30/2009,E12469,LA VICTORIA
4192626,13,PALDIX FORTE,800mg+160mg,Tableta,Tableta,Caja Tab.,100,10/20/2015,N22052,LA VICTORIA
4192749,13,ANTIHEMORROIDAL,,Crema,Crema,Caja Tbo. X 30 g,1,3/13/2013,E15352,LA VICTORIA
5255078,13,AMBROXOL,15mg/5mL,Jarabe,Solucion,Fco. X 120 mL,1,1/7/2014,EG6033,FARMINDUSTRIA
5275496,13,ATURAL,50mg/5mL,Inyectable,Inyectable,Amp. X 5 mL,6,4/18/2010,E17262,ROEMMERS
5275892,13,DEXTROSA,33.30%,Solución para Inyección,Inyectable,Amp. X 20 mL,1,8/25/2006,NG516,LUSA
5275953,13,ATROPINA SULFATO,0.25mg/mL,Solución para Inyección,Inyectable,Amp. X 1 mL,1,12/30/2012,NG3587,MEDIFARMA
5275960,13,ATROPINA SULFATO,0.5mg/mL,Solución para Inyección,Inyectable,Amp. X 1 mL,1,11/13/2011,NG1522,MEDIFARMA
5275984,13,RIPTAM,20mg,Polvo para Solución Inyectable,Inyectable,Caja Vial,1,10/19/2010,E8821,TECNOFARMA
5279531,13,FARMORUBICINA,10mg,Polvo para Solución Inyectable,Inyectable,Caja Vial + Amp. X 5 mL,1,8/15/2009,E5453,PFIZER
5279562,13,CYTOSAR,100mg,Polvo para Solución Inyectable,Inyectable,Caja Fco. Amp.,100,4/14/2010,E17252,PFIZER
5279579,13,CYTOSAR,500mg,Polvo Liofilizado para Solución Inyectable,Inyectable,Caja Amp. X 10 mL,1,4/18/2010,E17258,PFIZER
5287383,13,KALIUM,20%,Solución para Inyección,Inyectable,Amp. X 10 mL,1,8/19/2011,N264,LUSA
5287437,13,PLIDAN,5mg/mL,Solución para Inyección,Inyectable,Amp.,100,10/18/2008,N14030,ROEMMERS
